G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 17 2017,10:30p ET,,Box Score,@,Golden State Warriors,W,,122,121,1,0,W 1,
2,Wed Oct 18 2017,10:00p ET,,Box Score,@,Sacramento Kings,W,,105,100,2,0,W 2,
3,Sat Oct 21 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,107,91,3,0,W 3,
4,Mon Oct 23 2017,8:00p ET,,Box Score,,Memphis Grizzlies,L,,90,98,3,1,L 1,
5,Wed Oct 25 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,105,104,4,1,W 1,
6,Fri Oct 27 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,109,93,5,1,W 2,
7,Sat Oct 28 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,89,103,5,2,L 1,
8,Mon Oct 30 2017,8:00p ET,,Box Score,,Philadelphia 76ers,L,,107,115,5,3,L 2,
9,Wed Nov 1 2017,8:00p ET,,Box Score,@,New York Knicks,W,,119,97,6,3,W 1,
10,Fri Nov 3 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,119,104,7,3,W 2,
11,Sun Nov 5 2017,7:00p ET,,Box Score,,Utah Jazz,W,,137,110,8,3,W 3,
12,Thu Nov 9 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,117,113,9,3,W 4,
13,Sat Nov 11 2017,8:00p ET,,Box Score,,Memphis Grizzlies,W,,111,96,10,3,W 5,
14,Sun Nov 12 2017,6:00p ET,,Box Score,@,Indiana Pacers,W,,118,95,11,3,W 6,
15,Tue Nov 14 2017,8:00p ET,,Box Score,,Toronto Raptors,L,,113,129,11,4,L 1,
16,Thu Nov 16 2017,10:30p ET,,Box Score,@,Phoenix Suns,W,,142,116,12,4,W 1,
17,Sat Nov 18 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,105,83,13,4,W 2,
18,Wed Nov 22 2017,8:00p ET,,Box Score,,Denver Nuggets,W,,125,95,14,4,W 3,
19,Sat Nov 25 2017,8:00p ET,,Box Score,,New York Knicks,W,,117,102,15,4,W 4,
20,Mon Nov 27 2017,8:00p ET,,Box Score,,Brooklyn Nets,W,,117,103,16,4,W 5,
21,Wed Nov 29 2017,8:00p ET,,Box Score,,Indiana Pacers,W,,118,97,17,4,W 6,
22,Sun Dec 3 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,118,95,18,4,W 7,
23,Thu Dec 7 2017,10:30p ET,,Box Score,@,Utah Jazz,W,,112,101,19,4,W 8,
24,Sat Dec 9 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,124,117,20,4,W 9,
25,Mon Dec 11 2017,8:00p ET,,Box Score,,New Orleans Pelicans,W,,130,123,21,4,W 10,
26,Wed Dec 13 2017,9:30p ET,,Box Score,,Charlotte Hornets,W,,108,96,22,4,W 11,
27,Fri Dec 15 2017,9:30p ET,,Box Score,,San Antonio Spurs,W,,124,109,23,4,W 12,
28,Sat Dec 16 2017,8:00p ET,,Box Score,,Milwaukee Bucks,W,,115,111,24,4,W 13,
29,Mon Dec 18 2017,8:00p ET,,Box Score,,Utah Jazz,W,,120,99,25,4,W 14,
30,Wed Dec 20 2017,8:00p ET,,Box Score,,Los Angeles Lakers,L,,116,122,25,5,L 1,
31,Fri Dec 22 2017,8:00p ET,,Box Score,,Los Angeles Clippers,L,,118,128,25,6,L 2,
32,Mon Dec 25 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,107,112,25,7,L 3,
33,Thu Dec 28 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,98,99,25,8,L 4,
34,Fri Dec 29 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,103,121,25,9,L 5,
35,Sun Dec 31 2017,7:00p ET,,Box Score,,Los Angeles Lakers,W,2OT,148,142,26,9,W 1,
36,Wed Jan 3 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,116,98,27,9,W 2,
37,Thu Jan 4 2018,8:00p ET,,Box Score,,Golden State Warriors,L,,114,124,27,10,L 1,
38,Sat Jan 6 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,101,108,27,11,L 2,
39,Mon Jan 8 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,116,107,28,11,W 1,
40,Wed Jan 10 2018,8:00p ET,,Box Score,,Portland Trail Blazers,W,,121,112,29,11,W 2,
41,Fri Jan 12 2018,10:30p ET,,Box Score,@,Phoenix Suns,W,,112,95,30,11,W 3,
42,Mon Jan 15 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,102,113,30,12,L 1,
43,Thu Jan 18 2018,9:30p ET,,Box Score,,Minnesota Timberwolves,W,,116,98,31,12,W 1,
44,Sat Jan 20 2018,8:30p ET,,Box Score,,Golden State Warriors,W,,116,108,32,12,W 2,
45,Mon Jan 22 2018,8:00p ET,,Box Score,,Miami Heat,W,,99,90,33,12,W 3,
46,Wed Jan 24 2018,8:00p ET,,Box Score,@,Dallas Mavericks,W,,104,97,34,12,W 4,
47,Fri Jan 26 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,113,115,34,13,L 1,
48,Sun Jan 28 2018,3:30p ET,,Box Score,,Phoenix Suns,W,,113,102,35,13,W 1,
49,Tue Jan 30 2018,8:00p ET,,Box Score,,Orlando Magic,W,,114,107,36,13,W 2,
50,Thu Feb 1 2018,8:00p ET,,Box Score,@,San Antonio Spurs,W,,102,91,37,13,W 3,
51,Sat Feb 3 2018,8:30p ET,,Box Score,@,Cleveland Cavaliers,W,,120,88,38,13,W 4,
52,Tue Feb 6 2018,7:30p ET,,Box Score,@,Brooklyn Nets,W,,123,113,39,13,W 5,
53,Wed Feb 7 2018,7:30p ET,,Box Score,@,Miami Heat,W,,109,101,40,13,W 6,
54,Fri Feb 9 2018,8:00p ET,,Box Score,,Denver Nuggets,W,,130,104,41,13,W 7,
55,Sun Feb 11 2018,7:00p ET,,Box Score,,Dallas Mavericks,W,,104,97,42,13,W 8,
56,Tue Feb 13 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,126,108,43,13,W 9,
57,Wed Feb 14 2018,8:00p ET,,Box Score,,Sacramento Kings,W,,100,91,44,13,W 10,
58,Fri Feb 23 2018,8:00p ET,,Box Score,,Minnesota Timberwolves,W,,120,102,45,13,W 11,
59,Sun Feb 25 2018,8:00p ET,,Box Score,@,Denver Nuggets,W,,119,114,46,13,W 12,
60,Mon Feb 26 2018,9:00p ET,,Box Score,@,Utah Jazz,W,,96,85,47,13,W 13,
61,Wed Feb 28 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,105,92,48,13,W 14,
62,Sat Mar 3 2018,8:30p ET,,Box Score,,Boston Celtics,W,,123,120,49,13,W 15,
63,Tue Mar 6 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,122,112,50,13,W 16,
64,Wed Mar 7 2018,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,110,99,51,13,W 17,
65,Fri Mar 9 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,105,108,51,14,L 1,
66,Sun Mar 11 2018,7:00p ET,,Box Score,@,Dallas Mavericks,W,,105,82,52,14,W 1,
67,Mon Mar 12 2018,8:00p ET,,Box Score,,San Antonio Spurs,W,,109,93,53,14,W 2,
68,Thu Mar 15 2018,8:00p ET,,Box Score,,Los Angeles Clippers,W,,101,96,54,14,W 3,
69,Sat Mar 17 2018,7:00p ET,,Box Score,@,New Orleans Pelicans,W,,107,101,55,14,W 4,
70,Sun Mar 18 2018,7:00p ET,,Box Score,@,Minnesota Timberwolves,W,,129,120,56,14,W 5,
71,Tue Mar 20 2018,10:30p ET,,Box Score,@,Portland Trail Blazers,W,,115,111,57,14,W 6,
72,Thu Mar 22 2018,8:00p ET,,32-39,,Detroit Pistons,,,,,,,,
73,Sat Mar 24 2018,8:00p ET,,42-30,,New Orleans Pelicans,,,,,,,,
74,Sun Mar 25 2018,8:00p ET,,21-50,,Atlanta Hawks,,,,,,,,
75,Tue Mar 27 2018,8:00p ET,,24-47,,Chicago Bulls,,,,,,,,
76,Fri Mar 30 2018,8:00p ET,,19-53,,Phoenix Suns,,,,,,,,
77,Sun Apr 1 2018,3:30p ET,,42-30,@,San Antonio Spurs,,,,,,,,
78,Tue Apr 3 2018,8:00p ET,,40-31,,Washington Wizards,,,,,,,,
79,Thu Apr 5 2018,8:00p ET,,44-27,,Portland Trail Blazers,,,,,,,,
80,Sat Apr 7 2018,8:30p ET,,43-30,,Oklahoma City Thunder,,,,,,,,
81,Tue Apr 10 2018,10:30p ET,,31-39,@,Los Angeles Lakers,,,,,,,,
82,Wed Apr 11 2018,10:30p ET,,23-49,@,Sacramento Kings,,,,,,,,
